,Proxy,area_name_en,area_lat,area_lon,nRecords,Average Meter Sale Price
0,Al Barsha First,Al Barsha First,25.10849909,55.1923845,432,13622.73
1,Al Barsha First,Al Goze Fourth,25.15204218,55.2538392,2501,7103.84
2,Al Barsha First,Al Safouh First,25.12303578,55.1792713,832,12140.64
3,Al Barsha First,Al Safouh Second,25.10001893,55.16360094,1418,29036.370000000003
4,Al Barsha First,Al Thanyah First,25.0987035,55.1725124,1189,10473.45
5,Al Barsha First,Um Hurair Second,25.23840744,55.32760641,100,21960.105000000003
6,Al Barsha First,Um Suqaim Third,25.14280454,55.18731602,3917,23711.55
7,Al Barsha South Fifth,Al Barsha South Fifth,25.04291825,55.18747333,11292,14492.77
8,Al Barsha South Fourth,Al Barsha South Fourth,25.05936493,55.21207713,69205,11998.9
9,Al Barshaa South Second,Al Barshaa South Second,25.07190314,55.23227541,9183,16193.72
10,Al Barshaa South Third,Al Barshaa South Third,25.06209482,55.23443163,20169,12562.81
11,Al Hebiah First,Al Hebiah First,25.04998492,55.23894687,11190,13074.66
12,Al Hebiah First,Al Hebiah Second,25.03836176,55.24784173,3889,13526.57
13,Al Hebiah Fourth,Al Hebiah Fifth,25.00242864,55.24042905,6791,9372.28
14,Al Hebiah Fourth,Al Hebiah Fourth,25.03502194,55.21354639,17413,8961.01
15,Al Hebiah Third,Al Hebiah Sixth,25.02119178,55.26280555,329,11976.48
16,Al Hebiah Third,Al Hebiah Third,25.02147288,55.26216265,8098,13001.810000000001
17,Al Jadaf,Al Jadaf,25.21430093,55.32735895,9728,15529.220000000001
18,Al Khairan First,Al Khairan First,25.19564786,55.36033252,24207,20640.15
19,Al Kifaf,Al Kifaf,25.23424657,55.29696777,4219,18310.68
20,Al Kifaf,Al Satwa,25.21992155,55.2742099,1445,22077.76
21,Al Merkadh,Al Merkadh,25.16984676,55.29268975,32101,18232.79
22,Al Thanyah Fifth,Al Thanyah Fifth,25.051959,55.15578,25689,12195.03
23,Al Thanyah Third,Al Thanyah Third,25.094255,55.161612,9291,12532.98
24,Al Warsan First,Al Nahda First,25.28850649,55.36400769,234,2826.89
25,Al Warsan First,Al Qusais Industrial Fourth,25.29346782,55.40008641,161,7325.24
26,Al Warsan First,Al Warsan First,25.1599767,55.4246648,16549,5970.15
27,Al Warsan First,Mirdif,25.22331903,55.42166405,1562,12028.65
28,Al Warsan First,Muhaisanah First,25.24457265,55.42065575,982,12337.255000000001
29,Al Warsan First,Nad Al Hamar,25.20191882,55.38446945,112,10511.115000000002
30,Al Warsan First,Nad Al Shiba,25.1451203,55.3392738,1536,7096.585
31,Al Warsan First,Nad Al Shiba First,25.14725852,55.30501384,3435,12273.81
32,Al Warsan First,Ras Al Khor Industrial First,25.17775008,55.33622108,3147,23303.91
33,Al Warsan First,Rega Al Buteen,25.25944987,55.31737608,98,8380.935000000001
34,Al Warsan First,Warsan Fourth,25.14379674,55.40635719,4019,8412.53
35,Al Wasl,Al Wasl,25.19685113,55.25356365,10142,23142.41
36,Al Yelayiss 2,Al Yelayiss 2,24.99404911,55.29142486,13195,11211.0
37,Bukadra,Bukadra,25.1770677,55.3250371,7922,25994.85
38,Burj Khalifa,Burj Khalifa,25.19005375,55.27814093,35258,20999.145
39,Business Bay,Business Bay,25.18762593,55.27989946,50386,20627.78
40,Hadaeq Sheikh Mohammed Bin Rashid,Hadaeq Sheikh Mohammed Bin Rashid,25.1053253,55.26733804,25362,20576.055
41,Jabal Ali First,Hessyan First,24.96920273,55.0250756,225,6577.44
42,Jabal Ali First,Jabal Ali,25.01126,55.06116,5175,7142.86
43,Jabal Ali First,Jabal Ali First,25.03192836,55.14232708,19858,11903.814999999999
44,Jabal Ali First,Jabal Ali Industrial Second,24.95823558,55.10601052,2496,13344.255000000001
45,Madinat Al Mataar,Madinat Al Mataar,24.91892638,55.18015257,17874,12648.939999999999
46,Madinat Al Mataar,Saih Shuaib 2,24.87549227,55.05686863,1240,14531.165
47,Madinat Dubai Almelaheyah,Island 2,25.1985959,55.2240363,449,42963.14
48,Madinat Dubai Almelaheyah,Jumeirah First,25.2249316,55.2584809,2826,22761.43
49,Madinat Dubai Almelaheyah,Jumeirah Second,25.2075147,55.2394827,325,65713.03
50,Madinat Dubai Almelaheyah,Madinat Dubai Almelaheyah,25.266914,55.266119,11562,26417.57
51,Madinat Dubai Almelaheyah,Palm Jumeirah,25.1193271,55.1317401,15930,18846.22
52,Marsa Dubai,Marsa Dubai,25.09547176,55.13076456,59391,17879.49
53,Me'Aisem First,Dubai Investment Park First,24.99222384,55.16651934,1816,8265.8
54,Me'Aisem First,Dubai Investment Park Second,24.97551093,55.20975585,4714,15534.919999999998
55,Me'Aisem First,Me'Aisem First,25.0177834,55.18312486,16012,10902.775
56,Nadd Hessa,Nadd Hessa,25.12321,55.386619,14794,8692.635
57,Wadi Al Safa 3,Wadi Al Safa 3,25.11569338,55.32337167,8833,12571.12
58,Wadi Al Safa 3,Wadi Al Safa 4,25.07281915,55.31302736,3743,19248.5
59,Wadi Al Safa 5,Madinat Hind 4,24.9981931,55.37157657,2700,12417.535
60,Wadi Al Safa 5,Wadi Al Safa 2,25.10606176,55.36153117,6618,7767.764999999999
61,Wadi Al Safa 5,Wadi Al Safa 5,25.08232101,55.36365192,18584,11793.345000000001
62,Wadi Al Safa 5,Wadi Al Safa 7,25.04253774,55.28449984,1560,8961.91
63,Zaabeel Second,Palm Deira,25.33227698,55.2704399,5014,25220.065
64,Zaabeel Second,Trade Center First,25.21780805,55.27795394,361,39404.0
65,Zaabeel Second,Trade Center Second,25.21364395,55.28021207,1105,48342.64
66,Zaabeel Second,Zaabeel First,25.2229504,55.30536808,2100,29391.29
67,Zaabeel Second,Zaabeel Second,25.1988826,55.29829935,4172,22678.085
